# Data from Open Admin Data (https://openadmindata.org/ng/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/nigeria-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.state,children_count.lga,children_count.ward,zip_codes,geo.lat,geo.lon,source_url
NG003007,2,Local Government Area,Local Government Area,Etinan,Etinan,etinan-ng003007,NG003007,,NG003,Akwa Ibom,Akwa Ibom,,,11,,4.846,7.843,
NG003008,2,Local Government Area,Local Government Area,Ibeno,Ibeno,ibeno-ng003008,NG003008,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.563,8.089,
NG003009,2,Local Government Area,Local Government Area,Ibesikpo Asutan,Ibesikpo Asutan,ibesikpo-asutan-ng003009,NG003009,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.896,7.966,
NG003010,2,Local Government Area,Local Government Area,Ibiono Ibom,Ibiono Ibom,ibiono-ibom-ng003010,NG003010,,NG003,Akwa Ibom,Akwa Ibom,,,11,,5.2,7.895,
NG003011,2,Local Government Area,Local Government Area,Ika,Ika,ika-ng003011,NG003011,,NG003,Akwa Ibom,Akwa Ibom,,,10,,5.016,7.543,
NG003012,2,Local Government Area,Local Government Area,Ikono,Ikono,ikono-ng003012,NG003012,,NG003,Akwa Ibom,Akwa Ibom,,,11,,5.178,7.793,
NG003013,2,Local Government Area,Local Government Area,Ikot Abasi,Ikot Abasi,ikot-abasi-ng003013,NG003013,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.609,7.622,
NG003014,2,Local Government Area,Local Government Area,Ikot Ekpene,Ikot Ekpene,ikot-ekpene-ng003014,NG003014,,NG003,Akwa Ibom,Akwa Ibom,,,11,,5.2,7.705,
NG003015,2,Local Government Area,Local Government Area,Ini,Ini,ini-ng003015,NG003015,,NG003,Akwa Ibom,Akwa Ibom,,,10,,5.404,7.752,
NG003016,2,Local Government Area,Local Government Area,Itu,Itu,itu-ng003016,NG003016,,NG003,Akwa Ibom,Akwa Ibom,,,10,,5.138,8,
NG003017,2,Local Government Area,Local Government Area,Mbo,Mbo,mbo-ng003017,NG003017,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.626,8.236,
NG003018,2,Local Government Area,Local Government Area,Mkpat Enin,Mkpat Enin,mkpat-enin-ng003018,NG003018,,NG003,Akwa Ibom,Akwa Ibom,,,14,,4.705,7.761,
NG003019,2,Local Government Area,Local Government Area,Nsit Atai,Nsit Atai,nsit-atai-ng003019,NG003019,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.819,8.014,
NG003020,2,Local Government Area,Local Government Area,Nsit Ibom,Nsit Ibom,nsit-ibom-ng003020,NG003020,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.904,7.893,
NG003021,2,Local Government Area,Local Government Area,Nsit Ubium,Nsit Ubium,nsit-ubium-ng003021,NG003021,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.76,7.949,
NG003022,2,Local Government Area,Local Government Area,Obot Akara,Obot Akara,obot-akara-ng003022,NG003022,,NG003,Akwa Ibom,Akwa Ibom,,,10,,5.243,7.601,
NG003023,2,Local Government Area,Local Government Area,Okobo,Okobo,okobo-ng003023,NG003023,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.813,8.127,
NG003024,2,Local Government Area,Local Government Area,Onna,Onna,onna-ng003024,NG003024,,NG003,Akwa Ibom,Akwa Ibom,,,12,,4.639,7.873,
NG003025,2,Local Government Area,Local Government Area,Oron,Oron,oron-ng003025,NG003025,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.816,8.226,
NG003026,2,Local Government Area,Local Government Area,Oruk Anam,Oruk Anam,oruk-anam-ng003026,NG003026,,NG003,Akwa Ibom,Akwa Ibom,,,13,,4.828,7.697,
NG003027,2,Local Government Area,Local Government Area,Udung Uko,Udung Uko,udung-uko-ng003027,NG003027,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.749,8.265,
NG003028,2,Local Government Area,Local Government Area,Ukanafun,Ukanafun,ukanafun-ng003028,NG003028,,NG003,Akwa Ibom,Akwa Ibom,,,11,,4.876,7.585,
NG003029,2,Local Government Area,Local Government Area,Uruan,Uruan,uruan-ng003029,NG003029,,NG003,Akwa Ibom,Akwa Ibom,,,11,,5.003,8.075,
NG003030,2,Local Government Area,Local Government Area,Urue-Offong/Oruko,Urue-Offong/Oruko,urue-offongoruko-ng003030,NG003030,,NG003,Akwa Ibom,Akwa Ibom,,,10,,4.723,8.155,
NG003031,2,Local Government Area,Local Government Area,Uyo,Uyo,uyo-ng003031,NG003031,,NG003,Akwa Ibom,Akwa Ibom,,,11,,4.988,7.998,
NG004,1,State,State,Anambra,Anambra,anambra-ng004,NG004,,,,,,21,326,,6.249,6.938,https://openadmindata.org/ng/states/anambra-ng004/
NG004001,2,Local Government Area,Local Government Area,Aguata,Aguata,aguata-ng004001,NG004001,,NG004,Anambra,Anambra,,,20,,5.983,7.093,
NG004002,2,Local Government Area,Local Government Area,Anambra East,Anambra East,anambra-east-ng004002,NG004002,,NG004,Anambra,Anambra,,,15,,6.313,6.9,
NG004003,2,Local Government Area,Local Government Area,Anambra West,Anambra West,anambra-west-ng004003,NG004003,,NG004,Anambra,Anambra,,,10,,6.493,6.777,
NG004004,2,Local Government Area,Local Government Area,Anaocha,Anaocha,anaocha-ng004004,NG004004,,NG004,Anambra,Anambra,,,19,,6.091,7.026,
NG004005,2,Local Government Area,Local Government Area,Awka North,Awka North,awka-north-ng004005,NG004005,,NG004,Anambra,Anambra,,,14,,6.34,7.06,
NG004006,2,Local Government Area,Local Government Area,Awka South,Awka South,awka-south-ng004006,NG004006,,NG004,Anambra,Anambra,,,20,,6.193,7.093,
NG004007,2,Local Government Area,Local Government Area,Ayamelum,Ayamelum,ayamelum-ng004007,NG004007,,NG004,Anambra,Anambra,,,11,,6.535,6.975,
NG004008,2,Local Government Area,Local Government Area,Dunukofia,Dunukofia,dunukofia-ng004008,NG004008,,NG004,Anambra,Anambra,,,14,,6.279,6.98,
NG004009,2,Local Government Area,Local Government Area,Ekwusigo,Ekwusigo,ekwusigo-ng004009,NG004009,,NG004,Anambra,Anambra,,,12,,5.994,6.839,
NG004010,2,Local Government Area,Local Government Area,Idemili North,Idemili North,idemili-north-ng004010,NG004010,,NG004,Anambra,Anambra,,,12,,6.137,6.893,
NG004011,2,Local Government Area,Local Government Area,Idemili South,Idemili South,idemili-south-ng004011,NG004011,,NG004,Anambra,Anambra,,,12,,6.061,6.829,
NG004012,2,Local Government Area,Local Government Area,Ihiala,Ihiala,ihiala-ng004012,NG004012,,NG004,Anambra,Anambra,,,20,,5.845,6.858,
NG004013,2,Local Government Area,Local Government Area,Njikoka,Njikoka,njikoka-ng004013,NG004013,,NG004,Anambra,Anambra,,,18,,6.19,7.008,
NG004014,2,Local Government Area,Local Government Area,Nnewi North,Nnewi North,nnewi-north-ng004014,NG004014,,NG004,Anambra,Anambra,,,10,,6.019,6.915,
NG004015,2,Local Government Area,Local Government Area,Nnewi South,Nnewi South,nnewi-south-ng004015,NG004015,,NG004,Anambra,Anambra,,,20,,5.958,6.977,
NG004016,2,Local Government Area,Local Government Area,Ogbaru,Ogbaru,ogbaru-ng004016,NG004016,,NG004,Anambra,Anambra,,,16,,5.912,6.751,
NG004017,2,Local Government Area,Local Government Area,Onitsha North,Onitsha North,onitsha-north-ng004017,NG004017,,NG004,Anambra,Anambra,,,15,,6.164,6.797,
NG004018,2,Local Government Area,Local Government Area,Onitsha South,Onitsha South,onitsha-south-ng004018,NG004018,,NG004,Anambra,Anambra,,,17,,6.14,6.773,
NG004019,2,Local Government Area,Local Government Area,Orumba North,Orumba North,orumba-north-ng004019,NG004019,,NG004,Anambra,Anambra,,,18,,6.115,7.16,
NG004020,2,Local Government Area,Local Government Area,Orumba South,Orumba South,orumba-south-ng004020,NG004020,,NG004,Anambra,Anambra,,,18,,5.99,7.205,
NG004021,2,Local Government Area,Local Government Area,Oyi,Oyi,oyi-ng004021,NG004021,,NG004,Anambra,Anambra,,,15,,6.227,6.9,
NG005,1,State,State,Bauchi,Bauchi,bauchi-ng005,NG005,,,,,,20,212,,10.998,9.326,https://openadmindata.org/ng/states/bauchi-ng005/
NG005001,2,Local Government Area,Local Government Area,Alkaleri,Alkaleri,alkaleri-ng005001,NG005001,,NG005,Bauchi,Bauchi,,,11,,9.896,10.445,
NG005002,2,Local Government Area,Local Government Area,Bauchi,Bauchi,bauchi-ng005002,NG005002,,NG005,Bauchi,Bauchi,,,12,,10.245,9.956,
NG005003,2,Local Government Area,Local Government Area,Bogoro,Bogoro,bogoro-ng005003,NG005003,,NG005,Bauchi,Bauchi,,,10,,9.625,9.628,
NG005004,2,Local Government Area,Local Government Area,Damban,Damban,damban-ng005004,NG005004,,NG005,Bauchi,Bauchi,,,10,,11.629,10.762,
NG005005,2,Local Government Area,Local Government Area,Darazo,Darazo,darazo-ng005005,NG005005,,NG005,Bauchi,Bauchi,,,11,,11.108,10.51,
NG005006,2,Local Government Area,Local Government Area,Dass,Dass,dass-ng005006,NG005006,,NG005,Bauchi,Bauchi,,,10,,10.009,9.475,
NG005007,2,Local Government Area,Local Government Area,Gamawa,Gamawa,gamawa-ng005007,NG005007,,NG005,Bauchi,Bauchi,,,11,,12.029,10.608,
NG005008,2,Local Government Area,Local Government Area,Ganjuwa,Ganjuwa,ganjuwa-ng005008,NG005008,,NG005,Bauchi,Bauchi,,,11,,10.747,10.043,
NG005009,2,Local Government Area,Local Government Area,Giade,Giade,giade-ng005009,NG005009,,NG005,Bauchi,Bauchi,,,10,,11.408,10.242,
NG005010,2,Local Government Area,Local Government Area,Itas/Gadau,Itas/Gadau,itasgadau-ng005010,NG005010,,NG005,Bauchi,Bauchi,,,10,,11.879,10.11,
NG005011,2,Local Government Area,Local Government Area,Jama'are,Jama'are,jamaare-ng005011,NG005011,,NG005,Bauchi,Bauchi,,,10,,11.667,9.944,
NG005012,2,Local Government Area,Local Government Area,Katagum,Katagum,katagum-ng005012,NG005012,,NG005,Bauchi,Bauchi,,,11,,11.66,10.345,
NG005013,2,Local Government Area,Local Government Area,Kirfi,Kirfi,kirfi-ng005013,NG005013,,NG005,Bauchi,Bauchi,,,10,,10.442,10.525,
NG005014,2,Local Government Area,Local Government Area,Misau,Misau,misau-ng005014,NG005014,,NG005,Bauchi,Bauchi,,,10,,11.389,10.463,
NG005015,2,Local Government Area,Local Government Area,Ningi,Ningi,ningi-ng005015,NG005015,,NG005,Bauchi,Bauchi,,,11,,11.063,9.207,
NG005016,2,Local Government Area,Local Government Area,Shira,Shira,shira-ng005016,NG005016,,NG005,Bauchi,Bauchi,,,11,,11.462,10.043,
NG005017,2,Local Government Area,Local Government Area,Tafawa-Balewa,Tafawa-Balewa,tafawa-balewa-ng005017,NG005017,,NG005,Bauchi,Bauchi,,,11,,9.858,9.61,
NG005018,2,Local Government Area,Local Government Area,Toro,Toro,toro-ng005018,NG005018,,NG005,Bauchi,Bauchi,,,11,,10.368,9.252,
NG005019,2,Local Government Area,Local Government Area,Warji,Warji,warji-ng005019,NG005019,,NG005,Bauchi,Bauchi,,,10,,11.164,9.744,
NG005020,2,Local Government Area,Local Government Area,Zaki,Zaki,zaki-ng005020,NG005020,,NG005,Bauchi,Bauchi,,,11,,12.212,10.241,
NG006,1,State,State,Bayelsa,Bayelsa,bayelsa-ng006,NG006,,,,,,8,105,,4.827,5.951,https://openadmindata.org/ng/states/bayelsa-ng006/
NG006001,2,Local Government Area,Local Government Area,Brass,Brass,brass-ng006001,NG006001,,NG006,Bayelsa,Bayelsa,,,10,,4.417,6.106,
NG006002,2,Local Government Area,Local Government Area,Ekeremor,Ekeremor,ekeremor-ng006002,NG006002,,NG006,Bayelsa,Bayelsa,,,12,,4.941,5.715,
NG006003,2,Local Government Area,Local Government Area,Kolokuma/Opokuma,Kolokuma/Opokuma,kolokumaopokuma-ng006003,NG006003,,NG006,Bayelsa,Bayelsa,,,11,,5.068,6.241,
NG006004,2,Local Government Area,Local Government Area,Nembe,Nembe,nembe-ng006004,NG006004,,NG006,Bayelsa,Bayelsa,,,13,,4.544,6.381,
NG006005,2,Local Government Area,Local Government Area,Ogbia,Ogbia,ogbia-ng006005,NG006005,,NG006,Bayelsa,Bayelsa,,,13,,4.796,6.314,
NG006006,2,Local Government Area,Local Government Area,Sagbama,Sagbama,sagbama-ng006006,NG006006,,NG006,Bayelsa,Bayelsa,,,14,,5.096,6.124,
NG006007,2,Local Government Area,Local Government Area,Southern Ijaw,Southern Ijaw,southern-ijaw-ng006007,NG006007,,NG006,Bayelsa,Bayelsa,,,17,,4.716,5.881,
NG006008,2,Local Government Area,Local Government Area,Yenegoa,Yenegoa,yenegoa-ng006008,NG006008,,NG006,Bayelsa,Bayelsa,,,15,,5.065,6.372,
NG007,1,State,State,Benue,Benue,benue-ng007,NG007,,,,,,23,264,,7.301,8.812,https://openadmindata.org/ng/states/benue-ng007/
NG007001,2,Local Government Area,Local Government Area,Ado,Ado,ado-ng007001,NG007001,,NG007,Benue,Benue,,,10,,6.78,8.061,
NG007002,2,Local Government Area,Local Government Area,Agatu,Agatu,agatu-ng007002,NG007002,,NG007,Benue,Benue,,,10,,7.876,7.895,
NG007003,2,Local Government Area,Local Government Area,Apa,Apa,apa-ng007003,NG007003,,NG007,Benue,Benue,,,11,,7.632,7.905,
NG007004,2,Local Government Area,Local Government Area,Buruku,Buruku,buruku-ng007004,NG007004,,NG007,Benue,Benue,,,13,,7.386,9.272,
NG007005,2,Local Government Area,Local Government Area,Gboko,Gboko,gboko-ng007005,NG007005,,NG007,Benue,Benue,,,17,,7.405,8.881,
NG007006,2,Local Government Area,Local Government Area,Guma,Guma,guma-ng007006,NG007006,,NG007,Benue,Benue,,,10,,7.868,8.829,
NG007007,2,Local Government Area,Local Government Area,Gwer East,Gwer East,gwer-east-ng007007,NG007007,,NG007,Benue,Benue,,,14,,7.376,8.383,
NG007008,2,Local Government Area,Local Government Area,Gwer West,Gwer West,gwer-west-ng007008,NG007008,,NG007,Benue,Benue,,,15,,7.613,8.265,
NG007009,2,Local Government Area,Local Government Area,Katsina-Ala,Katsina-Ala,katsina-ala-ng007009,NG007009,,NG007,Benue,Benue,,,12,,7.359,9.59,
NG007010,2,Local Government Area,Local Government Area,Konshisha,Konshisha,konshisha-ng007010,NG007010,,NG007,Benue,Benue,,,11,,7.109,8.621,
NG007011,2,Local Government Area,Local Government Area,Kwande,Kwande,kwande-ng007011,NG007011,,NG007,Benue,Benue,,,15,,6.778,9.413,
NG007012,2,Local Government Area,Local Government Area,Logo,Logo,logo-ng007012,NG007012,,NG007,Benue,Benue,,,10,,7.671,9.24,
NG007013,2,Local Government Area,Local Government Area,Makurdi,Makurdi,makurdi-ng007013,NG007013,,NG007,Benue,Benue,,,11,,7.735,8.518,
NG007014,2,Local Government Area,Local Government Area,Obi,Obi,obi-ng007014,NG007014,,NG007,Benue,Benue,,,0,,7.021,8.272,
NG007015,2,Local Government Area,Local Government Area,Ogbadibo,Ogbadibo,ogbadibo-ng007015,NG007015,,NG007,Benue,Benue,,,13,,7.021,7.639,
NG007016,2,Local Government Area,Local Government Area,Ohimini,Ohimini,ohimini-ng007016,NG007016,,NG007,Benue,Benue,,,10,,7.26,7.958,
NG007017,2,Local Government Area,Local Government Area,Oju,Oju,oju-ng007017,NG007017,,NG007,Benue,Benue,,,11,,6.87,8.364,
NG007018,2,Local Government Area,Local Government Area,Okpokwu,Okpokwu,okpokwu-ng007018,NG007018,,NG007,Benue,Benue,,,12,,7.044,7.893,
NG007019,2,Local Government Area,Local Government Area,Oturkpo,Oturkpo,oturkpo-ng007019,NG007019,,NG007,Benue,Benue,,,13,,7.32,8.087,
NG007020,2,Local Government Area,Local Government Area,Tarka,Tarka,tarka-ng007020,NG007020,,NG007,Benue,Benue,,,10,,7.605,8.859,
NG007021,2,Local Government Area,Local Government Area,Ukum,Ukum,ukum-ng007021,NG007021,,NG007,Benue,Benue,,,13,,7.65,9.677,
NG007022,2,Local Government Area,Local Government Area,Ushongo,Ushongo,ushongo-ng007022,NG007022,,NG007,Benue,Benue,,,11,,7.082,9.007,
NG007023,2,Local Government Area,Local Government Area,Vandeikya,Vandeikya,vandeikya-ng007023,NG007023,,NG007,Benue,Benue,,,12,,6.844,9.079,
NG008,1,State,State,Borno,Borno,borno-ng008,NG008,,,,,,27,302,,11.87,13.428,https://openadmindata.org/ng/states/borno-ng008/
NG008001,2,Local Government Area,Local Government Area,Abadam,Abadam,abadam-ng008001,NG008001,,NG008,Borno,Borno,,,0,,13.395,13.274,
NG008002,2,Local Government Area,Local Government Area,Askira/Uba,Askira/Uba,askirauba-ng008002,NG008002,,NG008,Borno,Borno,,,13,,10.637,12.846,
NG008003,2,Local Government Area,Local Government Area,Bama,Bama,bama-ng008003,NG008003,,NG008,Borno,Borno,,,14,,11.541,14.154,
NG008004,2,Local Government Area,Local Government Area,Bayo,Bayo,bayo-ng008004,NG008004,,NG008,Borno,Borno,,,10,,10.447,11.705,
NG008005,2,Local Government Area,Local Government Area,Biu,Biu,biu-ng008005,NG008005,,NG008,Borno,Borno,,,11,,10.804,12.123,
NG008006,2,Local Government Area,Local Government Area,Chibok,Chibok,chibok-ng008006,NG008006,,NG008,Borno,Borno,,,11,,10.856,12.823,
NG008007,2,Local Government Area,Local Government Area,Damboa,Damboa,damboa-ng008007,NG008007,,NG008,Borno,Borno,,,10,,11.137,12.74,
NG008008,2,Local Government Area,Local Government Area,Dikwa,Dikwa,dikwa-ng008008,NG008008,,NG008,Borno,Borno,,,10,,11.935,14.084,
NG008009,2,Local Government Area,Local Government Area,Gubio,Gubio,gubio-ng008009,NG008009,,NG008,Borno,Borno,,,10,,12.709,12.76,
NG008010,2,Local Government Area,Local Government Area,Guzamala,Guzamala,guzamala-ng008010,NG008010,,NG008,Borno,Borno,,,10,,12.836,13.319,
NG008011,2,Local Government Area,Local Government Area,Gwoza,Gwoza,gwoza-ng008011,NG008011,,NG008,Borno,Borno,,,13,,11.177,13.632,
NG008012,2,Local Government Area,Local Government Area,Hawul,Hawul,hawul-ng008012,NG008012,,NG008,Borno,Borno,,,12,,10.457,12.295,
NG008013,2,Local Government Area,Local Government Area,Jere,Jere,jere-ng008013,NG008013,,NG008,Borno,Borno,,,12,,11.927,13.187,
NG008014,2,Local Government Area,Local Government Area,Kaga,Kaga,kaga-ng008014,NG008014,,NG008,Borno,Borno,,,15,,11.588,12.486,
NG008015,2,Local Government Area,Local Government Area,Kala/Balge,Kala/Balge,kalabalge-ng008015,NG008015,,NG008,Borno,Borno,,,10,,12.058,14.486,
NG008016,2,Local Government Area,Local Government Area,Konduga,Konduga,konduga-ng008016,NG008016,,NG008,Borno,Borno,,,11,,11.687,13.183,
NG008017,2,Local Government Area,Local Government Area,Kukawa,Kukawa,kukawa-ng008017,NG008017,,NG008,Borno,Borno,,,10,,13.046,13.718,
NG008018,2,Local Government Area,Local Government Area,Kwaya Kusar,Kwaya Kusar,kwaya-kusar-ng008018,NG008018,,NG008,Borno,Borno,,,10,,10.431,11.906,
NG008019,2,Local Government Area,Local Government Area,Mafa,Mafa,mafa-ng008019,NG008019,,NG008,Borno,Borno,,,12,,12.046,13.541,
NG008020,2,Local Government Area,Local Government Area,Magumeri,Magumeri,magumeri-ng008020,NG008020,,NG008,Borno,Borno,,,13,,12.225,12.712,
NG008021,2,Local Government Area,Local Government Area,Maiduguri,Maiduguri,maiduguri-ng008021,NG008021,,NG008,Borno,Borno,,,15,,11.835,13.134,
NG008022,2,Local Government Area,Local Government Area,Marte,Marte,marte-ng008022,NG008022,,NG008,Borno,Borno,,,13,,12.406,13.858,
NG008023,2,Local Government Area,Local Government Area,Mobbar,Mobbar,mobbar-ng008023,NG008023,,NG008,Borno,Borno,,,10,,13.055,12.627,
NG008024,2,Local Government Area,Local Government Area,Monguno,Monguno,monguno-ng008024,NG008024,,NG008,Borno,Borno,,,12,,12.523,13.534,
